,X,Date,Year,Time,Location,Operator,Route,AC.Type,Manufacturer,Registration,cn.ln,Aboard,Aboard.Passangers,Aboard.Crew,Fatalities,Fatalities.Passangers,Fatalities.Crew,Ground,Summary,Coordinates,Latitude,Longitude,Country,Country coordinates,Location_Status
3216,3228,09/01/1983,1983,18:26,"Sakhalin Island, Russia",Korean Airlines,Anchorage - Seoul,Boeing B-747-230B,Boeing,HL-7442,20559/186,269.0,246.0,23.0,269,246.0,23.0,0.0,"On a flight from Alaska to South Korea, the airliner drifted off course and twice penetrated Soviet airspace.  During the second penetration, the airliner was shot down by a Russian Su-15 Air Force fighter with air-to-air missiles. The aircraft crashed into international waters in the Sea of Japan. U.S. Representative from Georgia Lawrence McDonald killed. Because of an improper navigational setting the plane drifted off course. There was a U.S. spy plane in the vacinity of the 007 flight. The 007 plane was mistaken for the spy plane. The fighter pilot was ordered by Soviet command to shoot down the plane. Two air-to-air missiles were launched by the  fighter and struck the Boeing 747. Cabin pressure was lost and the aircraft suffered control problems, causing the plane to go into a dive and break up, crashing into the ocean.","(64.779262, -18.673522)",66.77426892707543,-15.612516577482975,Russia,Iceland,not correct location
3217,3229,09/02/1983,1983,,"Smithers, British Columbia, Canada",Central Mountain Air Services,Campbell River - Smithers,Britten-Norman BN-2A-21 Islander,Britten Norman,C-GIPF,0274,9.0,,,9,,,0.0,"Crashed en route. NY industrialist Georgel Cogar, 51, among those killed.","(54.78023, -127.16897)",52.94619449100398,-120.0525198265152,Canada,Canada,correct location
3218,3230,09/14/1983,1983,09:34,"Guilin, China",CAAC,Guilin - Beijing,Hawker Siddeley Trident 2E /  II-28,Hawker Siddeley,B-264 / ?,2169 / ?,106.0,100.0,6.0,11,11.0,0.0,0.0,Collided with a Chinese Air Force aircraft while taxing.,"(25.274504, 110.302684)",19.12270145080073,114.59670555002562,China,China,correct location
3219,3231,09/23/1983,1983,15:30,"Mina Jebel Ali, UAE",Gulf Air,Karachi - Abu Dhabi,Boeing B-737-2P6,Boeing,A40-BK,21734/566,112.0,107.0,5.0,112,107.0,5.0,0.0,Crashed  into the desert after a distress message and during an emergency landing attempt. Detonation of an explosive device in the baggage compartment.,"(25.009308, 55.104522)",31.91341191984709,54.21125710090208,UAE,United Arab Emirates,not correct location
3220,3232,09/28/1983,1983,,"Lanyu Island, Taiwan",Taiwan Airlines,Taitung-Lanyu Island,Britten-Norman BN-2A-26 Trislander,Britten Norman,B-11109,0518,10.0,9.0,1.0,10,9.0,1.0,0.0,Crashed into the sea.,"(44.952531, -89.632829)",44.44897477477648,-89.72572176834313,Taiwan,United States,not correct location
3221,3233,10/07/1983,1983,,"Aracatuba, Brazil",TAM Lineas AÃÂ©reas Regional,Campo Grande - AraÃÂ§atuba,Embraer 110C Bandeirante,Embraer,PP-SBH,110026,15.0,13.0,2.0,7,5.0,2.0,0.0,After two missed IFR approaches the aircraft struck the ground short of the runway threshold during a third VFR approach.,"(-21.200153, -50.446949)",-23.585019440844093,-48.17261411953121,Brazil,Brazil,correct location
3222,3234,10/08/1983,1983,,"Lonkin, Myanmar",Burma Airways,Lonkin - Myitkyina,de Havilland Canada DHC-6 Twin Otter 300,deHavilland,XY-AEE,512,14.0,11.0,3.0,9,6.0,3.0,0.0,Struck trees on high ground after losing the No.1 engine during take off.,"(25.65429, 96.36023)",20.55300973040366,90.22412691247906,Myanmar,Myanmar,correct location
3223,3235,10/11/1983,1983,20:53,"Pinckneyville, Illinois",Air Illinois,"Springfield, Il - Carbondale, IL",Hawker Siddeley HS-748-FAA,Hawker Siddeley,N748LL,1716,10.0,7.0,3.0,10,7.0,3.0,0.0,"Two minutes out of Springfield, the left generator suffered a complete mechanical failure. The first officer mistakenly shut down the right generator and all attempts at bring it back to life failed. Although the plane could be flown safely on batteries for about 30 minutes the captain decided to continue on towards Carbondale, thirty-nine minutes away. The batteries lasted for thirty-one minutes. The aircraft lost all power, turned blindly 180 degrees and crashed in a rural area.","(38.006498, -89.408714)",37.475094695554944,-87.96454312363052,United States,United States,correct location
3224,3236,10/28/1983,1983,13:35,"Middletown, Pennsylvania",Pennsylvania Airlines,Middletown - Washington DC,Shorts 330-200,Short,N26288,SH3074,30.0,27.0,3.0,1,1.0,0.0,0.0,"A passenger committed suicide by opening the right rear door and jumping out at 3,500 ft.","(39.501884, -84.371113)",36.52063735937616,-87.06506090563381,United States,United States,correct location
3225,3237,11/08/1983,1983,15:20,"Lubango, Huila, Angola",TAAG Angola Airlines,Lubango - Luanda,Boeing B-737-200,Boeing,D2-TBN,22775,130.0,126.0,4.0,130,126.0,4.0,0.0,The airliner crashed immediately after takeoff.  Shot down by rebels with a surface to air missile.,"(-14.910009, 13.490019)",-24.606645748268473,9.335800315451472,Angola,Angola,correct location
3226,3238,11/23/1983,1983,,"Landsdowne House, Canada",Austin Airways,,de Havilland Canada DHC-6 Twin Otter 300,deHavilland,C-GTLA,632,7.0,5.0,2.0,4,4.0,0.0,0.0,The aircraft touched down short of the runway while on a VFR approach in a snowstorm. The nosegear and one of the main landing gear legs broke away from the fuselage and the aircraft caught fire.,"(35.792072, -78.873361)",38.13160097131372,-83.3208348625965,Canada,United States,not correct location
3227,3239,11/27/1983,1983,10:06,"Madrid-Barajas, Spain",AVIANCA,Paris - Madrid - Bogota,Boeing B-747-283B,Boeing,HK-2910,21381,192.0,169.0,23.0,181,158.0,23.0,0.0,"While attempting to land at Madrid, the crew intercepted the wrong ILS track which caused the pilot to initiate a right turn short of the VOR beacon. The aircraft impacted a series of hills during which the right wing broke off, the aircraft cartwheeled and broke into 5 pieces and came to rest upside down. Procedural errors by the crew including the pilot not knowing his precise position before descending, failure of the crew to take corrective action after a warning from the  ground proximity warning system and deficient teamwork on the flight deck.  The aircraft was named ""Magnus Viking,"" LN-RNA and dry-leased from SAS.","(40.429913, -3.669245)",34.23563279459603,3.280532505364593,Spain,Spain,correct location
3228,3240,11/28/1983,1983,11:13,"Enugu, Nigeria",Nigeria Airways,Calabar-Enugu,Fokker F-28 Fellowship 2000,Fokker,5N-ANF,11090,72.0,66.0,6.0,53,51.0,2.0,0.0,The aircraft crashed 18 nm short of the runway after attaining a nose-high attitude in poor visibility and caught fire. Crew may have been preoccupied with landing gear trouble.,"(6.453046, 7.52235)",12.955083124837927,11.094403066839737,Nigeria,Nigeria,correct location
3229,3241,12/07/1983,1983,09:40,"Madrid, Spain",Iberia Airlines / Aviaco,Madrid - Rome,Boeing B-727-200 / DC9-32,Boeing,EC-CFJ/EC-CGS,20820 / 47645,135.0,120.0,15.0,93,87.0,6.0,0.0,"While taking off, the B-727 struck the DC-9 on the runway in poor visibility, fog and snow. Because of poor visibility and inadequate signs and markings the, DC-9 inadvertently wandered on the runway being used by the B-727 to take off. The airport had no ground radar. Fifty-one aboard the 727 and all 42 aboard the DC-9 were killed. Mexican actress,  MarÃÂ­a ""Fanny Cano"" DamiÃÂ¡n, 39, among those killed.","(40.429913, -3.669245)",42.4933589959157,-0.20847853453967424,Spain,Spain,correct location
3230,3242,12/14/1983,1983,15:30,"Medellin, Colombia",TAMPA Colombia,Medellin - Miami,Boeing 707-373C,Boeing,HK-2401,18707/349,3.0,0.0,3.0,3,0.0,3.0,22.0,"After liftoff, the aircraft entered a 90 degree bank, struck power lines and crashed into buildings. Failure of the No.3 engine during a climb out with the No.4 engine operating at idle.","(6.276949, -75.576955)",3.2211876330295715,-80.45383047441597,Colombia,Colombia,correct location
3231,3243,12/17/1983,1983,13:10,"Paulatuk, Northwest Territory, Canada",Inuvik Coastal Airways,Inuvik - Paulatuk,de Havilland Canada DHC-6 Twin Otter 200,deHavilland,C-FGJK,213,12.0,10.0,2.0,2,1.0,1.0,0.0,The left wing contacted the ground after the pilot attempted a go-around. The plane cartwheeled and crashed. Runway is not oriented to correspond with the prevailing winds. The aircraft was overloaded by 840 lbs and was below that prescribed to take off. Lack of weather forcast.,"(69.340877, -124.079058)",70.76578747226294,-126.1843606418945,Canada,Canada,correct location
3232,3244,12/24/1983,1983,08:53,"Leshukonskoye, Russia",Aeroflot,Arkhangelsk - Leshukonskoye,Antonov AN-24,Antonov,CCCP-46617,37308704,49.0,44.0,5.0,44,39.0,5.0,0.0,"The airliner crashed on approach in adverse weather. Instead of a go-around the pilot put the plane in a tight turn to the right with a high slip angle, leading to a loss of airspeed. After descending through decision height the pilot attempted a go-around but the plane rolled to the left and lost altitude. After the bank angle reached 90 degrees the aircraft crashed short of  the runway.","(64.8977, 45.7655)",63.81295738837007,44.354899450499374,Russia,Russia,correct location
3233,3245,01/02/1984,1984,,"Amman, Jordan",Military - Royal Jordanian Air Force,,CASA 212-A3 Aviocar 100,CASA,324,55,13.0,,,13,,,0.0,Crashed due to mechanical problems.,"(31.95522, 35.94503)",28.34658303388309,35.719171627036054,Jordan,Jordan,correct location
3234,3246,01/03/1984,1984,,"Novoagansk, Russia",Aeroflot,,Mi-6,Mil,CCCP-21006,0239,76.0,71.0,5.0,38,38.0,0.0,0.0,The helicopter crashed on takeoff. Crew error.,"(61.9449, 76.6625)",73.4236847004996,80.18353655519775,Russia,Russia,correct location
3235,3247,01/09/1984,1984,22:30,"Saint Louis, Missouri",Skycraft Air Transport,"Saint Louis, MO - Toronto, Canada",Douglas DC-3,Douglas,C-GSCA,15745/27190,2.0,0.0,2.0,1,0.0,1.0,0.0,"The attempts at taking off failed because of poor engine performance. On the third try power was lost in both engines and an emergency landing was attempted on a highway. The left wing struck a light pole. Jet-A fuel was used when refueling the aircraft, instead of aviation gas.","(16.01793, -16.48962)",15.929394027096892,-13.277072269440625,United States,Senegal,not correct location
3236,3248,01/10/1984,1984,,"Sofia, Bulgaria",Balkan Bulgarian Airlines,Berlin - Sofia,Tupolev TU-134A,Tupolev,LZ-TUR,4352308,50.0,45.0,5.0,50,45.0,5.0,0.0,The aircraft struck power lines and crashed into a forest during a snowstorm while attempting to land.  A go-around was attempted at 300 ft. but the plane struck power lines and crashed 2.5 miles short of the runway. The crew descended below decision altitude while trying to make visual contact with the runway.,"(42.685984, 23.326714)",32.16384741366126,21.157871076483687,Bulgaria,Bulgaria,correct location
3237,3249,01/13/1984,1984,,"Cochabamba, Bolivia",North East Bolivian Airways,Cochabamba-La Paz,Douglas EC-54U,Douglas,CP-1090,36036,3.0,0.0,3.0,1,0.0,1.0,0.0,"After the No. 2 engine failed on takeoff, the pilot  tried to land but the propellers struck the runway and the aircraft ran off the runway into a ditch.","(-17.3895, -66.1568)",-11.489474006000872,-64.64580616268309,Bolivia,Bolivia,correct location
3238,3250,01/28/1984,1984,,"Izhevsk, Russia",Aeroflot,Kuibyshev - Izhevsk,Antonov An-24RV,Antonov,CCCP-47358,67310607,51.0,47.0,4.0,4,3.0,1.0,0.0,The aircraft crashed after the elevator failed. Disconnection of the linkage of the elevators control rod.,"(56.85192, 53.23297)",58.261552119929576,47.635572416064164,Russia,Russia,correct location
3239,3251,01/30/1984,1984,06:30,"Terre Haute, Indiana",Britt Airways,Training,Swearingen SA.226TC Metro II,Swearingen,N63Z,TC-240,3.0,1.0,2.0,3,1.0,2.0,0.0,"After taking off from rwy 23, the aircraft crashed ssw of the airport about 6300 ft from the departure end of the runway wy & about 1800 ft to the left of the runway centerline. Impact occurred while the aircraft was in a steep descent. The wreckage path was scattered along a heading of 035 deg from the initial impact point. The aircraft was demolished by impact & fire & no preimpact part failure or malfunction was found that would have caused the accident. Cause undetermined.","(39.467566, -87.383705)",43.534315728134786,-92.29622500411574,United States,United States,correct location
3240,3252,02/16/1984,1984,,"Debre Zelt, Ethiopia",Military - Ethiopian Air Force,,Antonov AN-12,Antonov,1506,4342002,38.0,33.0,5.0,26,,,0.0,The aircraft crashed after a hijacker detonated a hand grenade when the pilot tried to land.,"(10.35, 37.73333)",14.531387489576321,39.263166907321725,Ethiopia,Ethiopia,correct location
3241,3253,02/19/1984,1984,,"San Gerardo, El Salvador",Military - Salvadoran Air Force,,Bell UH-1H / Bell UH-1H,Bell,,,28.0,,,28,,,0.0,"One of the helicopters was hit by guerrilla mortar fire and lost control, crashing into the other helicopter.","(13.8083, -88.411132)",15.693836542489532,-93.75402791152459,El Salvador,El Salvador,correct location
3242,3254,02/28/1984,1984,16:16,"JFK Airport, New York, New York",Scandinavian Airlines (SAS),"Oslo, Norway, New York, NY",McDonnell Douglas DC-10-30,McDonnell Douglas,LN-RKB,46871,177.0,163.0,14.0,0,0.0,0.0,0.0,"While attempting to land at JFK, New York, the aircraft touched down 4,700 feet beyond the threshold, slid off end of runway and came to rest in a tidal waterway. The crew's disregard for prescribed procedures for monitoring and controlling of airspeed during the final stages of the approach and decision to continue the landing rather than to execute a missed approach. Overreliance on the autothrottle speed control system which had a history of recent malfunctions.","(40.66581, -73.80678)",37.563975337520915,-70.81977453968204,United States,United States,correct location
3243,3255,03/13/1984,1984,07:47,"Barranquilla, Colombia",Aerosucre Colombia,Barranquilla - Bogota,Curtiss C-46A,Curtiss,HK-1322P,444,6.0,2.0,4.0,4,1.0,3.0,0.0,"Tried to make an emergency landing. Touched down, lifted off, stalled and crashed.","(10.987333, -74.784913)",11.536151063016533,-76.45124676516009,Colombia,Colombia,correct location
3244,3256,03/16/1984,1984,,"San Borja, Bolivia",Lloyd Aereo Boliviano,Trinidad-San Borja,Fairchild F-27M,Fairchild,CP-862,BL-52,23.0,20.0,3.0,23,20.0,3.0,0.0,Crashed into the jungle.,"(-14.85195, -66.74954)",-16.570524481054555,-70.75982544870917,Bolivia,Bolivia,correct location
3245,3257,03/24/1984,1984,,"Rurrenabaque, Bolivia",Frigorifico Reyes,,Douglas C-54,Douglas,CP-1206,10559,5.0,2.0,3.0,5,2.0,3.0,0.0,"Shortly after the cargo plane took off, the engines began to backfire, the plane lost altitude, the right wing clipped trees and the plane crashed.","(-14.44125, -67.52781)",-18.56928134946015,-75.20779321173568,Bolivia,Bolivia,correct location
3247,3259,03/31/1984,1984,08:30,Bimini,State Airlines,Ft. Lauderdale - Bimini,Cessna 402B,Cessna,N44NC,402B-0852,6.0,5.0,1.0,6,5.0,1.0,0.0,"Slowed to 90 knts and soon after began to descent at 5,400 fpm and disappeared from radar and crashed into the sea. The wreckage was never found.","(25.744074, -79.258355)",23.986125907652003,-69.88930883675552,Bimini,The Bahamas,not correct location
3248,3260,04/18/1984,1984,,"Imperatriz, Brazil",VOTEC / VOTEC,,Embraer 110EJ Band./Embraer 110P Band.,Embraer,PT-GJZ/PT-GKL,110088 / 110170,35.0,31.0,4.0,19,17.0,2.0,0.0,"Midair collision.  Same aircraft type, same airline. One of 17 killed aboard PT-GKL and all 18 aboard PT-GJZ were killed. PT-GJZ crashed out of control but PT-GKL was able to make a forced landing without its No.1 engine on a river after which it sank.","(-5.520556, -47.464339)",-4.3367710194643285,-48.44217497591036,Brazil,Brazil,correct location
3249,3261,05/08/1984,1984,,"Elbet Beni Salama, Egypt",Military - Egyptian Air Force,,McDonnel F-4E Phantom II,McDonnell Douglas,,,2.0,0.0,2.0,2,0.0,2.0,19.0,"Crashed into a village approximately 80 miles from Cairo, killing 19 on the ground.","(3.089843, 43.628758)",1.4030045440976835,49.729034846895416,Egypt,Somalia,not correct location
3250,3262,05/30/1984,1984,01:45,"Chalkhill, Pennsylvania",Zantop International Airlines,Baltimore - Detroit,Lockheed L-188AF Electra,Lockheed,N5523,1034,4.0,1.0,3.0,4,1.0,3.0,0.0,"The cargo aircraft's entry into an unusual attitude and the inability of the flight crew to analyze the flight condition before there was a complete loss of control. Although the precise reason for the loss of control was not identified, an undetermined failure of a component in the No.2 vertical gyro system, perhaps involving the amplifier and associated circuitry, probably contributed to the cause of the accident by incorrectly processing data to the co-pilot's approach horizon. The inflight structural failure of the aircraft was due to overload.","(39.846071, -79.614241)",43.85156067184756,-76.72842210838792,United States,United States,correct location
3251,3263,06/04/1984,1984,23:41,"Windsor Locks, Connecticut",Air Continental,Syracuse-Windsor Locks,Learjet 23A,Learjet,N101PP,23-085,3.0,1.0,2.0,3,1.0,2.0,0.0,"According to witnesses, the aircraft made a normal approach to Rwy 33 with no apparent abnormalities. However, when it was about 200 ft over the approach lights, they heard an increase in the engine thrust & the aircraft's descent stopped. Two witnesses thought the aircrew initiated a go-around. Immediately thereafter, the aircraft began an apparent level turn to the right. As it turned thru about 90 deg of turn, the bank angle had increased to nearly 90 deg, the aircraft's nose dropped & the plane crashed in a nose low attitude & burned. Malfunction of spoiler system for reasons undetermined.","(41.925533, -72.653625)",45.320007757148424,-62.604842770935015,United States,United States,correct location
3252,3264,06/19/1984,1984,02:55,"Island Beach, New Jersey",Air Taxi - Raco Helicopters Corp.,,Aerospeciale AS-350D,Aerospatiale,N5784M,,3.0,1.0,2.0,3,1.0,2.0,0.0,"The on-demand air taxi flight departed for garden city with one passenger. The reported weather at the approximate time of the accident indicated low clouds, thunderstorm activity including rain and lighting. One witness stated that he observed the helicopter flying at an altitude of approximately 60 to 80 feet above the water. The helicopter wreckage was found the next day on the beach. Continued VFR flight into IMC. Improper altitude.","(-35.79888, 137.8028)",-41.993586602245436,131.29447501892383,United States,Australia,not correct location
3253,3265,06/28/1984,1984,,"Sao Pedro d' Aldeia, Brazil",TAM Lineas AÃÂ©reas Regional,Rio de Janeiro - MacaÃÂ©,Embraer 110C Bandeirante,Embraer,PP-SBC,110-013,18.0,16.0,2.0,18,16.0,2.0,0.0,The aircraft flew into heavy rain and a cloud shrouded hill after the pilot abandoned IFR and descended VFR. The plane was carrying journalists.,"(-22.835366, -42.118568)",-28.715476370232107,-47.94902160420233,Brazil,Brazil,correct location
3254,3266,07/11/1984,1984,,"Buenavista, Philippines",Military - Philippine Air Force,,Bell UH-1H,Bell,,,30.0,,,30,,,0.0,Crashed into the Pacific Ocean off the coast of Marinduque Island.,"(8.97694, 125.40889)",10.616907807597663,123.91733047538234,Philippines,Philippines,correct location
3255,3267,07/12/1984,1984,,"Sigonella AFB, Italy",Military - U.S. Air Force,Sigonella - Diego Garcia,Lockheed C-141B,Lockheed,64-0624,300-6037,9.0,1.0,8.0,9,1.0,8.0,0.0,"Failure of the No. 4 engine caused the No. 3 engine to failue due to debris. Debris also started a fire in the cargo hatch. The crew was overcome by smoke and cyanide, lost control and crashed.","(37.409475, 14.909515)",37.216663370137404,15.595465995403861,Italy,Italy,correct location
3256,3268,07/21/1984,1984,13:40,"Tau Island, American Samoa",South Pacific Island Airways,Pango Pango - Tau Island,de Havilland Canada DHC-6 Twin Otter 300,deHavilland,N43SP,669,14.0,11.0,3.0,1,1.0,0.0,0.0,While turning from its base leg onto the final approach the fight controls suddenly collapsed and the nose of the plane pitched up. The pilot attempted to maintain control  of the aircraft by using the throttle and flap controls but it collided with a vehicle and terminal building.  A rusted elevator control cable broke. Improper maintenance  procedures. Total failure of the elevator control due to corrosion.,"(64.779262, -18.673522)",63.34508452994992,-23.468026199256038,American Samoa,Iceland,not correct location
3257,3269,08/02/1984,1984,08:05,"Vieques, Puerto Rico",Vieques Air Link,"Vieques, PR - St. Croix, VI",Britten-Norman BN-2A Islander,Britten Norman,N589SA,0038,9.0,8.0,1.0,9,8.0,1.0,0.0,Banked to the left shortly after taking off and crashed into the ocean. Aircraft overloaded and improperly loaded. Inexperienced pilot. Water contamination of fuel.,"(18.14913, -65.44266)",12.062555611796666,-63.240580668515506,Puerto Rico,United States,not correct location
3258,3270,08/04/1984,1984,,"Nawabshah, Pakistan",Aeroflot,Aden - Karachi - Tashkent,Antonov AN-12BP,Antonov,CCCP-10232, 3 3 411 07,24.0,15.0,9.0,24,15.0,9.0,0.0,The plane flew into severe weather and hail penetrated the oil radiatiors. Power was lost in all four engines and load limits were exceeded during an emergency descent. The plane broke up and crashed.,"(26.248213, 68.405589)",29.74997832336809,62.453782023452575,Pakistan,Pakistan,correct location
3259,3271,08/05/1984,1984,,"Dacca, Bangladesh",Bangladesh Biman,Chittagong-Patenga - Dhaka,Fokker F-27 Friendship 600,Fokker,S2-ABJ,10453,49.0,45.0,4.0,49,45.0,4.0,0.0,"Crashed in the water, 1,800 ft. short of the runway on a second landing attempt after a go-around on a VOR approach.","(23.7104, 90.40744)",15.377821043463884,89.52964022025931,Bangladesh,Bangladesh,correct location
3260,3272,08/11/1984,1984,01:00,"Memphis, Tennessee",Aviation Enterprises,Memphis - Chicago,Douglas DC-3,Douglas,N70003,12938,3.0,1.0,2.0,3,1.0,2.0,0.0,During takeoff the crew lost the No. 1 engine. The plane struck utility poles and crashed through the roof of a building. Missing spark plug from the No. 1 engine in the No. 14 cylinder.,"(35.112125, -89.954644)",33.10669155607064,-86.83519560525914,United States,United States,correct location
3261,3273,08/15/1984,1984,,"Wamena, Indonesia",Airfast Indonesia,Wamena-Jayapura,Douglas C-47A,Douglas,PK-OBC,12485,3.0,1.0,2.0,2,1.0,1.0,0.0,Crashed into a mountain while en route.,"(10.5, -5.11667)",15.1939765224353,1.8634881578028137,Indonesia,Burkina Faso,not correct location
3262,3274,08/24/1984,1984,11:18,"San Luis Obispo, California",Wings West Airlines / Private,San Luis Obispo - San Fransisco,Beechcraft C99 / Rockwell 112TC,Beechcraft,N6399U/N112SM,U187 /,17.0,13.0,4.0,17,13.0,4.0,0.0,"A head-on midair collision occurred at 3, 400 ft. near San Luis Obispo Airport . The Beech was climbing and the Rockwell was descending. Two aboard the Rockwell aircraft were killed along with 15 aboard the Beech.  Failure of the pilots of both aircraft to follow the recommended communications and traffic advisory practices for uncontrolled airports in alerting each other to their presence. Underlying the accident were the physiological limitations of human vision and reaction time.","(35.266778, -120.659441)",31.424304973480396,-119.54445163577662,United States,United States,correct location
3263,3275,08/30/1984,1984,,"Douala, Cameroon",Cameroon Airlines,Douala - Yaounde,Boeing B-737-2H7C,Boeing,TJ-CBD,21295/484,116.0,109.0,7.0,2,2.0,0.0,0.0,"When taxing tin preperation to takeoff, a compressor disc in the No.2 engine failed. Debris punctured the wing and fuel tank causing an uncontrollable fire that destroyed the aircraft.","(4.036332, 9.706494)",6.565159993569642,5.209498900996354,Cameroon,Cameroon,correct location
3264,3276,09/06/1984,1984,,"Mt. Musaka, Papua, New Guinea",Talair,Wewak-Tabubil-Telefomin-Kiunga,Britten-Norman BN-2A-20 Islander,Britten Norman,P2-ISG,0756,11.0,9.0,2.0,9,7.0,2.0,0.0,Crashed into Mt. Musaka.,"(-7.61684, 24.23142)",-16.4068575310034,23.419902506146265,New Guinea,Democratic Republic of the Congo,not correct location
3265,3277,09/07/1984,1984,21:10,"Naples, Florida",Provincetown - Boston Airlines,"Naples, FL - Tampa, FL",Cessna 402C,Cessna,N89PB,402C-06550,6.0,5.0,1.0,1,1.0,0.0,0.0,Lost both engines while taking off and crashed  wheels up in a field. Fueled with jet fuel by accident.,"(40.862838, 14.237375)",44.50012961655232,15.614237344381582,United States,Italy,not correct location
3266,3278,09/11/1984,1984,,"the Kwango River, Zaire",MMM Aero Services,Kinshasa - Tshikapa,Handley Page Dart Herald 202,Handley Page,9Q-CAH,303,30.0,25.0,5.0,30,25.0,5.0,0.0,After an engine failed in flight. The crew tried to make an emergency landing but over shot the runway and crashed.,"(-6.542, 17.832)",0.63513163833486,20.46669357356669,Zaire,Democratic Republic of the Congo,not correct location
3267,3279,09/16/1984,1984,,"Opole, Poland",APRL,Airshow,Antonov An-2T,Antonov,SP-AMK,1G168-04,25.0,22.0,3.0,11,11.0,0.0,0.0,Crashed during takeoff. Overloaded,"(50.680581, 17.96019)",50.824246812151856,21.00469736571664,Poland,Poland,correct location
3268,3280,09/18/1984,1984,11:04,"Quito, Ecuador",AECA Cargo,Quito - Guayaquil,McDonnell Douglas DC-8F-55,McDonnell Douglas,HC-BKN,45754/224,4.0,0.0,4.0,4,0.0,4.0,49.0,"While taking off, the cargo plane was unable to gain altitude and crashed into buildings at the end of the runway. Improper calculation of center of gravity, load distribution and maximum takeoff weight for existing runway and weather conditions.","(-0.22985, -78.52495)",-0.9494788567543938,-80.113830767847,Ecuador,Ecuador,correct location
3270,3282,10/09/1984,1984,,"Fort Franklin, Canada",Nahanni Air Services,Fort Norman - Fort Franklin,de Havilland Canada DHC-6 Twin Otter 100,deHavilland,C-FPPL,115,7.0,6.0,1.0,7,6.0,1.0,0.0,Struck a tower while on approach in fog.  Weather was below VFR minima and not reported to the pilot because of a lack of observation and communications facilities at Fort Franklin. The decision of the pilot to continue the approach in fog.,"(65.20896, -123.36325)",62.20086707380975,-117.2652947636198,Canada,Canada,correct location
3271,3283,10/11/1984,1984,05:40,"Omsk, Russia",Aeroflot,Krasnodar - Omsk,Tupolev TU-154B,Tupolev,CCCP-85243,243,179.0,170.0,9.0,174,169.0,5.0,4.0,"While landing, the crew noticed something on the runway, took evasive action and crashed into two cleaning vehicles. The flying control officer (ATC)  fell asleep and did not inform the controllers cleaning vehicles were on the runway.","(54.964146, 73.417869)",52.08392687670346,79.38022660706791,Russia,Russia,correct location
3272,3284,10/11/1984,1984,17:37,"Goose Bay, Newfoundland, Canada",Labradore Airways,St. Anthony - Goose Bay,de Havilland Canada DHC-6 Twin Otter 100,deHavilland,C-FAUS,34,4.0,2.0,2.0,4,2.0,2.0,0.0,The air ambulance struck a mountain in near zero visibility and snow bounced twice and came to rest in a canyon. The VFR flight was attempted in mountainous terrain in marginal weather conditions. The aircraft was flown at an altitude which did not provide terrain clearance and the aircraft struck amountain for undetermined reasons.,"(-42.478933, 173.545188)",-45.1089041963723,183.62439028386157,Canada,New Zealand,not correct location
3273,3285,10/27/1984,1984,,"Kabul, Afghanistan",Mililtary - Soviet Air Force,Tachkent-Kaboul,Ilyushin IL-76M,Ilyushin,CCCP-86739,083412354,11.0,7.0,4.0,11,7.0,4.0,0.0,Shot down by enemy fire.,"(34.52813, 69.17233)",32.96868983201054,67.96250695266443,Afghanistan,Afghanistan,correct location
3274,3286,10/31/1984,1984,,"Davao, Philippines",Village Airways,Davao - Manila,Douglas C-47B,Douglas,RP-C138,20811,4.0,0.0,4.0,4,0.0,4.0,0.0,The cargo plane went missing in the Pacific Ocean while en route.,"(7.073765, 125.612)",11.508136354524858,126.05364601356943,Philippines,Philippines,correct location
3275,3287,11/20/1984,1984,,"Loja, Peru",TAME,Loja - Zumba,de Havilland Canada DHC-6 Twin Otter 300,deHavilland,FAE-446,446,14.0,12.0,2.0,14,12.0,2.0,0.0,Crashed into high terrain.,"(-3.99313, -79.20422)",-10.38206871342442,-75.57186762460887,Peru,Ecuador,not correct location
3276,3288,12/04/1984,1984,,"Kostroma, USSR",Aeroflot,Kostroma -Kvanovo,LET 410 M,Let,CCCP-67225,770706,17.0,15.0,2.0,17,15.0,2.0,0.0,Spatial orientation caused by failure of the artificial horizon.,"(57.750875, 40.903997)",58.93412989794977,40.13402073165212,USSR,Russia,not correct location
3277,3289,12/06/1984,1984,18:14,"Jacksonville, Florida",Provincetown - Boston Airlines,Jacksonville - Tampa,Embraer 110P1 Bandeirante,Embraer,N96PB,110-365,13.0,11.0,2.0,13,11.0,2.0,0.0,"After taking off, the aircraft went into a steep dive, crashed and burned 7,800 ft. beyond the departure end of the runway. Malfunction of the elevator control system or elevator trim system. The reaction of the flight crew to correct the pitch control problem overstressed the left elevator control rod, which resulted in asymmetrical elevator deflection and overstress failure of the horizontal stabilizer attachment structure.","(30.369914, -81.660992)",27.80867620786524,-76.18598120599913,United States,United States,correct location
3278,3290,12/19/1984,1984,14:00,"Jaen, Peru",Military - Fuerza AÃÂ©rea del Peru,,de Havilland Canada DHC-6 Twin Otter 300,deHavilland,FAP-307,317,21.0,18.0,3.0,21,18.0,3.0,0.0,"Crashed in flames, two minutes after taking off from a military base.","(37.772959, -3.788949)",35.27491364196595,-6.382821332233634,Peru,Spain,not correct location
