,Unnamed: 0.1,Unnamed: 0,X,Date,Year,Time,Location,Operator,Route,AC.Type,Manufacturer,Registration,cn.ln,Aboard,Aboard.Passangers,Aboard.Crew,Fatalities,Fatalities.Passangers,Fatalities.Crew,Ground,Summary,Coordinates,Latitude,Longitude,LatitudeNoise,LongitudeNoise
3042,3042,3043,3055,02/21/1980,1980,08-09,"Leeville, Louisiana",Rotor Airs Inc - Air Taxi,"Leeville, LA - Grand Isle, LA",Sikorsky S-62A,Sikorsky,N442Y,62033,7.0,6.0,1.0,6,6.0,0.0,0.0,"The helicopter experienced uncontrollable overspeeding, became airborne, lost power and crashed.","(36.19089, -86.41749)",36.19089,-86.41749,36.62213332580538,-85.90610457851382
3043,3043,3044,3056,02/21/1980,1980,19-20,"Sydney, NSW, Australia",Advance Airlines,Sydney - Tomora,Beechcraft Super King Air 200,Beechcraft,VH-AAV,BB-0245,13.0,12.0,1.0,13,12.0,1.0,0.0,Crashed into a sea wall just 2 feet short of the runway while attemping an emergency landing.,"(-33.868633, 151.209421)",-33.868633,151.209421,-31.699881051724127,151.78890715013458
3045,3045,3046,3058,02/27/1980,1980,06-07,"Manila, Philippines",China Airlines (Taiwan),Taipei - Manila,Boeing B-707-309C,Boeing,B-1826,20262/830,135.0,124.0,11.0,2,2.0,0.0,0.0,The aircraft undershot the runway and bounced twice. The two outboard engines broke loose and the wingtips were ripped off. A fire broke out and spread rapidly. Pilot error.,"(14.593819, 120.992302)",14.593819,120.992302,15.61857494399469,120.30174681858088
3046,3046,3047,3059,03/14/1980,1980,11-12,"Near Warsaw, Poland",LOT Polish Airlines,New York City - Warsaw,Ilyushin IL-62,Ilyushin,SP-LAA,11004,87.0,77.0,10.0,87,77.0,10.0,0.0,"While attempting to land at Warsaw, the crew initiated an overshoot procedure after there were indications that the landing gear was not down. When thrust was applied, the No. 2 engine disintegrated, damaging two other engines and severing the rudder and elevator control lines. The plane crashed one-half mile from the runway threshold. Metal fatigue in the No. 2 engine turbine disc. The dead included 22 members of the U.S. boxing team and Polish singer Anna Jantar. The aircraft was named Mikolaj Kopernik.","(52.237695, 21.005427)",52.237695,21.005427,56.25786200497524,17.831376096560398
3047,3047,3048,3060,03/14/1980,1980,15-16,"Near Yenice, Turkey",Military - U.S. Air Force,Training,Lockheed C-130H,Lockheed,74-2064,4659,18.0,12.0,6.0,18,12.0,6.0,0.0,Crashed into hilly terrain after the left wing exploded. Cause unknown. The plane was returning to Incirlik Air Base.,"(40.79319, 22.414072)",40.79319,22.414072,40.923070538976994,22.66432624633791
3048,3048,3049,3061,03/21/1980,1980,19-20,"Houston, Texas",Eagle Commuter,Houston - Brownwood,Piper PA-28-180,Piper,N55932,28-7305503,10.0,8.0,2.0,7,5.0,2.0,0.0,"The right engine failed while taking off. The plane plunged to the ground, struck a helicopter, a small plane, four parked cars, and slammed into a hanger and burst into flames. The engine failed for undetermined reasons.  Improper emergency procedures. The pilot did not properly configure aircraft and  land immediately.","(29.784753, -95.361416)",29.784753,-95.361416,27.47494967538152,-97.07256832024204
3050,3050,3051,3063,04/12/1980,1980,20-21,"Florianopolis, Brazil",Transbrasil,Sao Paulo - Florianopolis,Boeing B-727-27C,Boeing,PT-TYS,19111/297,58.0,50.0,8.0,55,47.0,8.0,0.0,The plane crashed into a hill while landing during a thunderstorm. The pilot misjudged his speed and distance and failed to initiate a go-around. Improper flight supervision and control of the engines.,"(-27.595267, -48.541812)",-27.595267,-48.541812,-28.541257808550583,-47.80856154031807
3051,3051,3052,3064,04/14/1980,1980,20-21,"	Krasnoyarsk, Russia",Aeroflot,	Krasnoyarsk - Yeniseisk,Antonov An-24B,Antonov,CCCP-47732,69900905,53.0,49.0,4.0,2,2.0,0.0,0.0,The plane crashed when attempting an emergency landing after the starboard main gear broke on take-off.,"(56.025156, 93.050272)",56.025156,93.050272,60.933623032744045,91.53312203330464
3053,3053,3054,3066,04/25/1980,1980,13-14,"Tenerife, Canary Islands",Dan Air Services,Manchester - Tenerife,Boeing B-727-64,Boeing,G-BDAN,19279/288,146.0,138.0,8.0,146,138.0,8.0,0.0,"The plane crashed into a mountain 5,500 ft. high at 300 mph during an approach to Tenerife. The pilot, while in a holding pattern, took the aircraft in an area of high ground not maintaining the correct altitude. Lack of communication between the pilot and co-pilot.","(28.46824, -16.25462)",28.46824,-16.25462,29.73466101457892,-13.043300206363323
3054,3054,3055,3067,04/27/1980,1980,06-07,"Don Muang, Thailand",Thai Airways,Khon Kaen - Bangkok,Hawker Siddeley HS-748-2,Hawker Siddeley,HS-THB,1568,53.0,49.0,4.0,44,40.0,4.0,0.0,"The aircraft entered a thunderstorm, was caught in a downdraft and struck the ground 8 nm northeast of Bangkok International Airport. The pilot directed the aircraft into a thunderstorm in an early dissipating stage.  The aircraft was severely affected by a downdraft and lost altitude rapidly. At that time, the altitude of the aircraft was 1,500 ft. and the pilot could not maintain altitude. Procedural error by the pilot. Was not tuned to weather warning, did not use his weather radar and flew into an area of severe weather.","(13.910719, 100.58795)",13.910719,100.58795,13.600955346432198,99.49980017333286
3056,3056,3057,3069,06/08/1980,1980,15-16,"Near Matala, Angola",Lineas Aereas de Angola,Jamba-Lubango,Yakovlev YAK-40,Yakovlev,D2-TYC,9721753,29.0,25.0,4.0,29,25.0,4.0,0.0,Accidentally shot down by anti-aircraft fire.,"(17.822674, 76.854103)",17.822674,76.854103,16.82901125198995,76.64146511865458
3057,3057,3058,3070,06/12/1980,1980,13-14,"Near Dushanbe, Russia",Aeroflot,Leningrad - Dushanbe,Yakovlev YAK-40,Yakovlev,CCCP-87689,9910403,29.0,25.0,4.0,29,25.0,4.0,0.0,Deviated from their course to avoid a thunderstorm and crashed into a cloud covered mountain.,"(38.559318, 68.767547)",38.559318,68.767547,40.12330649028178,69.96284994486719
3058,3058,3059,3071,06/12/1980,1980,15-16,"Valley, Nebraska",Air Wisconsin,"Appleton, WI - Minneapolis, MN, - Lincoln, NE",Swearingen 226TC Metro II,Swearingen,N6505,TC-228,15.0,13.0,2.0,13,11.0,2.0,0.0,After penetrating a thunderstorm massive amounts of water cause both engine to lose power. Although the engines were restarted the crew could not recover and crashed into a field. Engine failure due to massive ingestion of water into both engines. Crew error. Unwise decision to enter an area of thunderstorms. Critical weather not disseminated.,"(32.818377, -85.188208)",32.818377,-85.188208,37.1128255229229,-80.2695275892744
3059,3059,3060,3072,06/27/1980,1980,20-21,"Tyrrhenian Sea,  off Ustica, Italy",Itavia,Bologna - Palermo,McDonnell Douglas DC-9-15,McDonnell Douglas,I-TIGI,45724/22,81.0,77.0,4.0,81,77.0,4.0,0.0,"Two Libyan MiG aircraft concealed themselves from radar detection by flying closely to the DC-9. When this was discovered, an attempt was made by either French or US aircraft to intercept the MiGs. It was believed that a shot fired at the MiGs accidentally struck Itavia Flight 870. The aircraft exploded and crashed off the island of Ustica. A report released in 1994 stated new evidence pointed to an explosive device aboard the aircraft causing the crash.","(39.863343, 12.143976)",39.863343,12.143976,40.51641008720196,10.720437720955838
3060,3060,3061,3073,07/08/1980,1980,00-01,"Near Alma-Ata, Kazakhstan, USSR",Aeroflot,Alma Ata - Simferopol,Tupolev TU-154B,Tupolev,CCCP-85355,355,166.0,156.0,10.0,166,156.0,10.0,0.0,"The aircraft crashed and burned in a field, two minutes after takeoff reaching a height of only 500 ft. Windshear.","(43.25654, 76.92848)",43.25654,76.92848,42.08912130546751,72.30380360112781
3062,3062,3063,3075,08/06/1980,1980,17-18,"Houma, Louisiana",Air Logistics,Oil Platform SS-224 - Houma LA,Bell 205A-1 helicopter,Bell,N95AL,30203,13.0,12.0,1.0,13,12.0,1.0,0.0,"Crashed after continued VFR flight into adverse weather conditions. No windshield wipers, unreliable attitude indicator and inoperative turn needle.","(29.584505, -90.690407)",29.584505,-90.690407,30.22886759026192,-90.59001874900856
3063,3063,3064,3076,08/07/1980,1980,03-04,"Nouadhibou, Mauretania",Tarom,Bucurest  - Nouadhibou,Tupolev TU-154B-1,Tupolev,YR-TPH,277,168.0,152.0,16.0,1,1.0,0.0,0.0,"The aircraft touched down in water 1,000 ft. short of the runway.","(20.93098, -17.03465)",20.93098,-17.03465,21.90956404785161,-18.71200438248942
3064,3064,3065,3077,08/19/1980,1980,19-20,"Riyadh, Saudi Arabia",Saudi Arabian Airlines,Riyadh - Jeddah,Lockheed 1011-200 TriStar,Lockheed,HZ-AHK,1169,301.0,287.0,14.0,301,287.0,14.0,0.0,"The flight experienced a fire in the aft cargo compartment  6 minutes after taking off from Rilyadh. The plane returned to the airport and landed but because of a delay in evacuating the plane, all aboard were killed by smoke and fire. Half a minute before landing the captain decided not to order an emergency evacuation.  When he landed, he did not stop immediately but instead proceeded to make a normal landing delaying the fire equipment from putting out the fire. It took a full twenty-three minutes after touchdown before the doors were opened. The failure of the captain to prepare the cabin crew for immediate evacuation upon landing and his failure in not making a maximum stop landing on the runway, with immediate evacuation.","(24.664126, 46.814232)",24.664126,46.814232,20.707295688512648,47.46580676885788
3065,3065,3066,3078,08/26/1980,1980,06-07,"Near Jakarta, Indonesia",Bouraq Indonesia Airlines,Banjarmasin-Sjamsudin Noor  -  Jakarta,Vickers Viscount 812,Vickers,PK-IVS,353,37.0,31.0,6.0,37,31.0,6.0,0.0,"A section of the tail separated in flight and the aircraft crashed into a swamp. Broken spigot fitting, which is part of  the elevator torque tube assembly. The part was not repaced as required.","(-6.182283, 106.839426)",-6.182283,106.839426,-10.00399225767724,107.69155889505468
3068,3068,3069,3081,09/12/1980,1980,20-21,"Off Freeport, Bahamas",Florida Commuter Airlines,West Palm Beach - Freeport Grand Bahama Islands,Douglas DC-3,Douglas,N75KW,4861,34.0,30.0,4.0,34,30.0,4.0,0.0,"The aircraft crashed into the Atlantic Ocean about 3.5 nm SW of West End Settlement in low ceiling and thunderstorm activity. The cause was unable to be determined. Contributing factors include flight into thunderstorm activity, a malfunctioning pitot tube and improper supervision by airline management.","(26.530786, -78.630123)",26.530786,-78.630123,21.31362477446957,-79.12379795400611
3070,3070,3071,3083,09/15/1980,1980,00-01,"Near Medina, Saudi Arabia",Military - Royal Saudi Air Force,,Lockheed C-130E,Lockheed,453,4128,89.0,81.0,8.0,89,81.0,8.0,0.0,Crashed into the desert after taking off. Report of an in-flight fire.,"(24.473668, 39.629912)",24.473668,39.629912,25.188037860761195,39.66376493714992
3073,3073,3074,3086,11/12/1980,1980,23-00,"Near Cairo, Egypt",Military - U.S. Air Force,Ramstein AB - Cairo,Lockheed C-141A,Lockheed,67-0030,6281,13.0,7.0,6.0,13,7.0,6.0,0.0,Descended at an excessive sink rate at a banked angle until it crashed to the ground as it prepared to land at Cairo Airport.,"(30.079694, 31.323437)",30.079694,31.323437,30.861614876411902,30.875963159598207
3074,3074,3075,3087,11/19/1980,1980,07-08,"Seoul, South Korea",Korean Airlines,Los Angeles-Anchorage-S̩oul,Boeing B-747-2B5B,Boeing,HL-7445,21773/366,226.0,212.0,14.0,15,9.0,6.0,0.0,Undershot runway and crashed while landing in fog. Crew error.,"(37.539619, 127.009676)",37.539619,127.009676,39.2577203788045,125.48853072954442
3076,3076,3077,3089,11/28/1980,1980,21-22,"Pecos City, Texas",Central Air Services,,Douglas DC-7B,Douglas,N816D,45085/714,2.0,0.0,2.0,2,0.0,2.0,0.0,The cargo plane entered a steep bank shortly after takeoff and crashed. Complete engine failure/flameout No.1 engine. Powerplant failure for undetermined reasons. Pilot-in-command  failed to obtain/maintain flying speed. Improper emergency procedures,"(30.787811, -102.785251)",30.787811,-102.785251,31.590631280198057,-105.33653004749664
3078,3078,3079,3091,12/21/1980,1980,14-15,"Near Rio Hacha, Colombia",Transportes Aereos del Caribe,Rio Hacha - Medellin,Aerospatiale Caravelle 6R,Aerospatiale,HK-1810,165,70.0,63.0,7.0,70,63.0,7.0,0.0,A fire and explosion took place 5 minutes after taking off. The explosion was possibly caused by a bomb placed in the rear section of the aircraft.,"(4.73333, -65.35)",4.73333,-65.35,5.497345986744593,-61.92491860568517
3079,3079,3080,3092,12/23/1980,1980,23-00,"Qatar, Qatar",Saudi Arabian Airlines,Dhahran - Karachi,Lockheed L-1011-200,Lockheed,HZ-AHJ,1161,291.0,271.0,20.0,2,2.0,0.0,0.0,Two passengers were sucked out of the plane after a tire exploded in the wheel well causing damage to the fuselage.,"(25.208492, 51.155983)",25.208492,51.155983,25.50848490930367,51.73483422056176
3080,3080,3081,3093,01/14/1981,1981,09-10,"Ramstein AFB, West Germany",Military - U.S. Air Force,"Ramstein AFB - Oslo, Norway",Lockheed C-130E Hercules,Lockheed,69-6581,4357,11.0,2.0,7.0,11,2.0,7.0,0.0,"Stalled, crashed shortly after taking off.","(49.440039, 7.589637)",49.440039,7.589637,51.213364991415446,11.275742977308983
3081,3081,3082,3094,01/20/1981,1981,11-12,"Spokane, Washington",Cascade Airways,Moses Lake - Spokane,Beechcraft 99A,Beechcraft,N390CA,U-101,9.0,7.0,2.0,7,5.0,2.0,0.0,"During an instrument approach, the aircraft descended below 3,500 ft. and impacted rising terrain became airborne, went over a hilltop and came to rest 1,380 ft. further on. A fire started in the area of the right engine and spread throughout the fuselage. A premature descent to minimum descent altitude based on the flightcrew's use of an incorrect distance measuring equipment frequency and the flightcrew's subsequent failure to remain at or above MDA.","(47.660011, -117.4058)",47.660011,-117.4058,46.3899510905937,-114.6443325830522
3082,3082,3083,3095,02/07/1981,1981,18-19,"Near Leningrad, Russia",Military - Soviet Navy,Leningrad-Vladivostok,Tupolev TU-104A,Tupolev,CCCP-42332,7660402,52.0,46.0,6.0,52,46.0,6.0,0.0,Crashed shortly after taking off approximately 10 miles north of Leningrad.,"(60.129098, 31.660968)",60.129098,31.660968,60.886849939280914,31.47586514085932
3083,3083,3084,3096,02/11/1981,1981,18-19,"White Plains, New York",Private - Corporate,"White Plains, NY - Toronto, Canada - White Plains, NY",Lockheed 1339,Lockheed,N520S,,8.0,6.0,2.0,8,6.0,2.0,0.0,"Crashed in rain, fog, windshear.  Pilot distracted as a result of a major electrical system failure. Undetected deviation from flightpath.","(41.263511, -73.213781)",41.263511,-73.213781,44.26548587036928,-76.42442111090128
3084,3084,3085,3097,02/22/1981,1981,11-12,"Avalon, California",Helicopter - Air Taxi,"San Pedro, CA - Avalon, CA",Sikorsky S-62A,Sikorsky,N324Y,62012,8.0,7.0,1.0,2,2.0,0.0,0.0,The main rotor disk failed from a fatigue fracture while attempting to land.,"(33.337257, -118.33327)",33.337257,-118.33327,34.942267926084824,-118.55005681187052
3086,3086,3087,3099,02/26/1981,1981,05-06,Off Tabones Island  Philippines,Military - U.S. Air Force,Training,Lockheed MC-130E-Y,Lockheed,64-0564,4074,24.0,15.0,9.0,23,15.0,8.0,0.0,"The military transport crashed into Subic Bay, 15 miles west-northwest of Cubi Point Naval Air Station where it had taken off an hour earlier and where it was on approach to land. Witnesses saw the aircraft flying at a low altitude just before crashing into the sea and exploding in flames.","(16.932122, 121.387948)",16.932122,121.387948,20.780278815116887,121.21706569494216
3087,3087,3088,3100,03/10/1981,1981,05-06,"Moroni, Comoro Islands",Military - French Naval Aviation,Moroni-Saint-Denis de la R̩union,Dassault-Breguet Atlantique,Other,29,29,18.0,14.0,4.0,18,14.0,4.0,0.0,"As the plane was taking off, one of the engines failed and after climbing to 500 ft., the aircraft plunged to earth and exploded in flames.","(-11.70216, 43.25506)",-11.70216,43.25506,-8.109938473554394,43.01710696826137
3088,3088,3089,3101,03/15/1981,1981,24-00,"Shemya AFB, Alaska",Military - U.S. Air Force,Eielson AFB-Shemya AFB,Boeing RC-135S,Boeing,61-2664,18340,24.0,,,6,,,0.0,Hit the ground short of the runway in snow and fog.,"(30.457896, -86.549408)",30.457896,-86.549408,26.19256187741629,-84.70730322759998
3091,3091,3092,3104,04/07/1981,1981,11-12,"Cincinnati, Ohio",Freedom International,Cincinnati - Detroit,Learjet 23,Learjet,N400PG,23-068,2.0,0.0,2.0,1,0.0,1.0,0.0,"While climbing through 3,800 ft., a Loon collided with the cargo plane penetrating the windshield. The copilot was killed and the captain sustained serious injuries. Debris from the windshield were ingested by the No.2 engine which had to be shut down. The pilot returned to the airport for a successful emergency landing.","(39.147604, -84.544084)",39.147604,-84.544084,39.79339988191198,-83.86413095494837
3092,3092,3093,3105,04/17/1981,1981,16-17,"Loveland, Colorado",Air US / Private,"Denver, CO - Gillette, WY",Hadley Page 137Jetstream I / Cessna 206,Handley Page,N11360 / N4862F,238,19.0,15.0,4.0,15,12.0,3.0,0.0,"A midair collision occurred 2 nm east-southeast of Loveland, Colorado at 13,000 ft.. Two killed and 3 injured on the Cessna and 13 killed on the Jetstream. The failure of the Cessna pilot to establish communications with the Denver Center and his climbing into controlled airspace above 12,500 ft without an authorized transponder. Contributing factor was the fact that existing regulations did not prohibit parachute jumping in or immediately adjacent to federal airways.","(40.413649, -105.084737)",40.413649,-105.084737,39.37539745039418,-104.97213735348087
3093,3093,3094,3106,04/28/1981,1981,07-08,"Pekanbaru, Indonesia",Private - Airfast Indonesia,Singapour-Pekanbaru,Douglas C-47A-5-DK,Douglas,PK-OBK,12209,17.0,13.0,4.0,15,11.0,4.0,0.0,Crashed during final approach. Hudbay Oil Co. charter.,"(0.552261, 101.467032)",0.552261,101.467032,-0.5130496993350498,99.491417508263
3094,3094,3095,3107,04/28/1981,1981,12-13,"	Batagay, Russia",Aeroflot,	Batagay - 	Lazo,Antonov An-2TP,Antonov,	 CCCP-92864,1G53-16,12.0,10.0,2.0,12,10.0,2.0,0.0,Crashed into a mountainside. Icing.,"(67.659161, 134.652553)",67.659161,134.652553,68.11753531788843,133.1433833135803
3095,3095,3096,3108,05/06/1981,1981,10-11,"Near Fredrick, Maryland",Military - U.S. Air Force,Training,Boeing EC-135N,Boeing,61-0328,18235,21.0,3.0,18.0,21,3.0,18.0,0.0,"While cruising at FL 210, the pitch trim moved to the full nose-down position. Gravational forces from the resulting dive led to the break-up of the aircraft.","(40.589117, -111.649647)",40.589117,-111.649647,41.2991719808425,-111.14506275828931
3096,3096,3097,3109,05/07/1981,1981,10-11,"Rio de la Plata, Argentina",Austral Lineas Aeras (Argentina),Tucuman - Buenos Aires,BAC One-Eleven 529FR,BAC,LV-LOX,212,31.0,26.0,5.0,31,26.0,5.0,0.0,The aircraft crashed into a river bed after two missed approaches and while in a holding pattern. Severe turbulence and thunderstorms where occurring in area. Loss of control of the aircraft and impact with the water by an error of the pilot in assessing the meteorological conditions on crossing through a zone of extremely violent cumulonimbus clouds. Windshear.,"(43.464818, -3.804543)",43.464818,-3.804543,44.26977599576207,-5.366391485954371
3099,3099,3100,3112,05/22/1981,1981,15-16,"Near Zumba, Ecuador",TAME,Quito-Macara,de Havilland Canada DHC-6 Twin Otter 300,deHavilland,HC-BAX,457,18.0,15.0,3.0,18,15.0,3.0,0.0,Crashed into a mountain in fog.,"(-4.86334, -79.13112)",-4.86334,-79.13112,-2.763805705015248,-77.36122930466519
3101,3101,3102,3114,06/14/1981,1981,16-17,"Ust-Barguzin, Russia",Aeroflot,Ulan - Severomuysk,Ilyushin Il-14,Ilyushin,CCCP-41838,147001141,48.0,44.0,4.0,48,44.0,4.0,0.0,The crew informed ATC they could see the field but crashed 30 km from the airport.,"(53.410579, 109.026333)",53.410579,109.026333,56.26632335689355,112.0350028785781
3102,3102,3103,3115,06/26/1981,1981,18-19,"Nailstone, England",Dan Air Services,London - East Midlands,Hawker Siddeley HS-748,Hawker Siddeley,G-ASPL,1560,3.0,0.0,3.0,3,0.0,3.0,0.0,"The the right rear door  of the cargo plane detached and struck the horizontal tail plane and became lodged on the leading edge. Control was lost, and the aircraft entered a steep dive. During the dive, the wings and tail plane failed due to overstressing.","(52.663153, -1.384836)",52.663153,-1.384836,54.59861027725786,-1.972266435241676
3103,3103,3104,3116,07/18/1981,1981,15-16,"Near Yerevan, Armenia",TAR,"Tehran, Iran - Larnaca, Cyprus",Canadair CL-44D4-6,Canadair,LV-JTN,34,4.0,1.0,3.0,4,1.0,3.0,0.0,The cargo plane was brought down after a Soviet fighter jet crashed into the tail of the Canadair. The plane had strayed into Soviet airspace.,"(40.155704, 44.524938)",40.155704,44.524938,44.95790858647175,41.77035275248532
3108,3108,3109,3121,08/22/1981,1981,10-11,"Near Sanyi, Miao-li, Taiwan",Far Eastern Air Transport,Taipei - Kaohsiung,Boeing B-737-222,Boeing,B-2603,19939/151,110.0,104.0,6.0,110,104.0,6.0,0.0,The aircraft experienced in-flight structural failure. Severe corrosion in belly of plane led to a pressure hull rupture and disintegration of the plane.,"(24.378997, 120.781028)",24.378997,120.781028,27.165330717319407,120.65355415501136
3109,3109,3110,3122,08/24/1981,1981,09-10,"Near Zavitinsk, Russia",Aeroflot / Military - Russian Air Force,Komsomol'sk-na-Amure - Blagoveshchensk,Antonov AN-24RV / Soviet Air Force TU-16,Antonov,CCCP-46653,47309204,32.0,27.0,5.0,31,26.0,5.0,0.0,"Midair collision with a Soviet Air Force TU-16. The only surviving passenger, a 20 year old woman was found in a forest 3 days later. Poor communication between civilian and military ATCs.","(50.111785, 129.444733)",50.111785,129.444733,53.22262571032585,130.29379062638705
3110,3110,3111,3123,08/27/1981,1981,15-16,"Mt. Elena, Colombia",Aeropesca Colombia,Florence - Neiva,Vickers Viscount 745D,Vickers,HK-1320,112,50.0,44.0,6.0,50,44.0,6.0,0.0,Crashed in the jungle on a mountain peak. Flying VFR in meteorological conditions below minima.,"(14.266667, 122.433333)",14.266667,122.433333,13.493092614409065,123.08160092169716
3111,3111,3112,3124,08/29/1981,1981,20-21,"Zeya, Russia",Aeroflot,Chita - Zeya,Yakovlev YAK-40,Yakovlev,CCCP-87346,9511539,34.0,29.0,5.0,3,1.0,2.0,0.0,"Flew into trees short and to the right of the runway, crashed and caught fire. Crew descended below minimums without visual contact with the ground.","(53.73248, 127.245946)",53.73248,127.245946,52.68090288748474,125.4929280978306
3113,3113,3114,3126,09/18/1981,1981,07-08,"Zeleznogorsk, Russian",Aeroflot /Military - Russian,Irkutsk - Zeleznogorsk,Yakovlev YAK-40 / Mil Mi-8,Yakovlev,CCCP-87455,9431236,40.0,29.0,11.0,40,29.0,11.0,0.0,Midair collision with a military Mi-8 helicopter (CCCP-22268). Thirty-three killed aboard the Yak-40.,"('', '')",,,,
3115,3115,3116,3128,09/22/1981,1981,12-13,"Near Babaeski, Turkey",Military - Turkish Air Force,,Northrop F-5A,Other,,,0.0,0.0,0.0,0,0.0,0.0,40.0,The fighter crashed into a village after the pilot ejected from the plane.,"(41.4325, 27.09306)",41.4325,27.09306,41.976530713623326,24.362237608035816
3116,3116,3117,3129,09/29/1981,1981,19-20,"Tehran, Iran",Military - Iranian Air Force,Ahwaz - Tehran,Lockheed C-130H,Lockheed,5-158-8552,4594,80.0,75.0,5.0,60,75.0,5.0,20.0,Crashed into Tir Square while on approach to land. Killed were Iran's Defense Minister and other military officals.,"(35.69439, 51.42151)",35.69439,51.42151,36.39373200709064,48.71652225908133
3117,3117,3118,3130,10/01/1981,1981,15-16,"Casper, Wyoming",Sky Train Air,"Casper, WY - McAllen, TX",Learjet 24,Learjet,N44CJ,24-146,3.0,1.0,2.0,3,1.0,2.0,0.0,"A loss of control, possibly initiated by an unexpected encounter with moderate to severe clear air turbulence, which caused the aircraft to depart the narrow flight envelope boundaries in which it was operating and from which recovery was not effected.","(42.844293, -106.311687)",42.844293,-106.311687,39.21734552515512,-105.91373163056548
3118,3118,3119,3131,10/06/1981,1981,17-18,"Moerdijk, Netherlands",NLM (Nederlandse Luchtvaart Maatschappij),Rotterdam - Eindhoven - Hamburgh,Fokker F-28 Fellowship 4000,Fokker,PH-CHI,11141,17.0,13.0,4.0,17,13.0,4.0,0.0,The aircraft entered an area of severe turbulence and a tornado which resulted in the separation of the right wing and in-flight break up.,"(51.706734, 4.622285)",51.706734,4.622285,53.946142385905056,1.7177175169613932
3120,3120,3121,3133,10/26/1981,1981,18-19,"St. Thomas, U.S. Virgin Islands",Aerolineas Argo,Saint Croix - Saint Thomas,Lockheed L-749A Constellation,Lockheed,HI-328,2607,5.0,2.0,3.0,5,2.0,3.0,0.0,After executing a turn to avoid traffic the cargo plane struck the ocean. Pilot misjudged the altitude and clearance.,"(17.955431, -76.472843)",17.955431,-76.472843,17.404411855216967,-77.00230422832234
3123,3123,3124,3136,11/16/1981,1981,19-20,"Norilsk, Russia",Aeroflot,Krasnoyarsk - Norilsk,Tupolev TU-154B-2,Tupolev,CCCP-85480,81A-480,167.0,160.0,7.0,99,95.0,4.0,0.0,The plane acquired excessive vertical speed and descended below the glideslope while attempting to land. The aircraft impacted terrain in an open field and slid across frozen ground for about 300 m. The high descent rate could not be countered by applying maximum elevator trim. Malfunctioning elevator.,"(69.317885, 88.212264)",69.317885,88.212264,72.72558720205642,88.8752581880842
3126,3126,3127,3139,12/01/1981,1981,08-09,"Mt. San Pietro, near Ajaccio, Corsica, France",Inex Adria Aviopromet (Yugoslavia),Ljubljana - Ajaccio,McDonnell Douglas MD-81,McDonnell Douglas,YU-ANA,48047/998,180.0,173.0,7.0,180,173.0,7.0,0.0,The aircraft crashed into a mountain during an approach to Camp dell Oro Airport in heavy fog. The crew was not properly prepared for the approach. The minimum altitude and maximum speed limits of the holding pattern were probably not retained. Imprecise language used by the crew and air traffic controller.,"(44.43836, 11.13591)",44.43836,11.13591,44.09772078832436,13.475052329985347
3127,3127,3128,3140,12/05/1981,1981,19-20,"Honolulu, Hawaii",Private - Parajump air show,"Haliive, HI  - Honolulu, HI",Beech C-45H,Beechcraft,N8185H,AF-381,12.0,11.0,1.0,11,10.0,1.0,0.0,"Crashed into the water. Improperly loaded aircraft, weight and center of gravity.","(21.40572, -157.789396)",21.40572,-157.789396,22.99086192290172,-156.0133708883958
3129,3129,3130,3142,12/18/1981,1981,13-14,"Near Covenas, Colombia",ACES Colombia,Medellin-Monteria-Covenas,de Havilland Canada DHC-6 Twin Otter 300,deHavilland,HK-2217,609,13.0,11.0,2.0,13,11.0,2.0,0.0,Struck high ground.,"(9.40412, -75.69628)",9.40412,-75.69628,8.192654884171144,-74.14321284171288
3131,3131,3132,3144,01/13/1982,1982,16-17,"Washington, D.C.",Air Florida,"Washington D.C. - Fort Lauderdale, FL",Boeing B-737-222,Boeing,N62AF,19556/130,79.0,74.0,5.0,74,70.0,4.0,4.0,"The aircraft crashed into the 14th St. bridge and the Potomac River and sank shortly after taking off from Washington National Airport. The aircraft reached a peak altitude of 300 ft. The flight crew's failure to use the engine anti-icing system during takeoff. Failure to de-ice the plane a second time before takeoff and taking off with snow/ice on the airfoil surfaces of the aircraft. Ice which accumulated on the engine pressure probes resulted in erroneously high Engine Pressure Ratio (EPR) readings. When the throttles were set to takeoff EPR, the engines were actually developing significantly less than takeoff thrust. The crew's inexperience in icing condtions was a contributing factor.","(38.82652, -77.01712)",38.82652,-77.01712,40.60402176127694,-77.93061788627541
3133,3133,3134,3146,01/23/1982,1982,19-20,"Logan Airport,  Boston, Massachusetts",World Airways,Newark - Boston,McDonnell Douglas DC-10-30CF,McDonnell Douglas,N113WA,47821/320,212.0,200.0,12.0,2,2.0,0.0,0.0,"While landing on an icy runway, the aircraft touched down 2,800 feet beyond the displaced threshold and slid off the end of the runway into shallow water with the nose section detaching. The minimal braking effectiveness on the ice-covered runway. The crew landed without sufficient information as to runway conditions. Lack of FAA regulations. The pilot's decision to retain autothrottle speed control throughout the flare and the consequent extended touchdown point on the runway contributed to the severity of the accident.","(39.855783, -104.401003)",39.855783,-104.401003,40.07018969097499,-105.53604529645229
3135,3135,3136,3148,02/03/1982,1982,07-08,"Djibouti, Djbouti",Military - French Air Force,Training,Nord 2501 Noratlas,Nord,140/88JA,140,35.0,30.0,5.0,35,30.0,5.0,0.0,Crashed into a mountain before a planned paratroop drop.,"('', '')",,,,
